height,width,time,type,scrollX,scrollY
810,1535,9961.435,mouseover,0,1450
810,1535,9961.435,mousemove,0,1450
810,1535,9949.625,scroll,0,1450
810,1535,9973.435,mousemove,0,1450
810,1535,9975.625,scroll,0,1403
810,1535,9986.435,mousemove,0,1403
810,1535,9988.64,scroll,0,1358
810,1535,9998.435,mouseout,0,1358
810,1535,9998.435,mouseover,0,1358
810,1535,9998.435,mousemove,0,1358
810,1535,10011.435,mouseout,0,1313
810,1535,10011.435,mouseover,0,1313
810,1535,10011.435,mousemove,0,1313
810,1535,10001.63,scroll,0,1313
810,1535,10023.435,mousemove,0,1271
810,1535,10015.25,scroll,0,1230
810,1535,10036.435,mousemove,0,1230
810,1535,10040.705,scroll,0,1190
810,1535,10048.435,mousemove,0,1190
810,1535,10061.435,mouseout,0,1152
810,1535,10061.435,mouseover,0,1152
810,1535,10061.435,mousemove,0,1152
810,1535,10053.73,scroll,0,1152
810,1535,10073.435,mouseout,0,1116
810,1535,10073.435,mouseover,0,1116
810,1535,10073.435,mousemove,0,1116
810,1535,10067.07,scroll,0,1082
810,1535,10086.435,mouseout,0,1082
810,1535,10086.435,mouseover,0,1082
810,1535,10086.435,mousemove,0,1082
810,1535,10092.71,scroll,0,1049
810,1535,10098.435,mousemove,0,1049
810,1535,10109.435,mouseout,0,1018
810,1535,10109.435,mouseover,0,1018
810,1535,10109.435,mousemove,0,1018
810,1535,10105.71,scroll,0,1018
810,1535,10122.435,mousemove,0,990
810,1535,10118.76,scroll,0,990
810,1535,10134.435,mousemove,0,963
810,1535,10131.695,scroll,0,938
810,1535,10148.435,mousemove,0,938
810,1535,10159.435,mousemove,0,916
810,1535,10157.76,scroll,0,916
810,1535,10173.435,mousemove,0,895
810,1535,10170.765,scroll,0,895
810,1535,10185.435,mouseout,0,877
810,1535,10185.435,mouseover,0,877
810,1535,10185.435,mousemove,0,877
810,1535,10183.73,scroll,0,860
810,1535,10198.435,mousemove,0,860
810,1535,10210.435,mousemove,0,846
810,1535,10209.78,scroll,0,846
810,1535,10222.435,mouseout,0,835
810,1535,10222.435,mouseover,0,835
810,1535,10222.435,mousemove,0,835
810,1535,10222.79,scroll,0,835
810,1535,10235.435,mousemove,0,825
810,1535,10235.8,scroll,0,825
810,1535,10247.435,mousemove,0,825
810,1535,10260.435,mousemove,0,817
810,1535,10249.875,scroll,0,813
810,1535,10272.435,mousemove,0,813
810,1535,10274.7,scroll,0,810
810,1535,10284.435,mousemove,0,810
810,1535,10297.435,mousemove,0,810
810,1535,10533.435,mousemove,0,810
810,1535,10546.435,mouseout,0,810
810,1535,10546.435,mouseover,0,810
810,1535,10546.435,mousemove,0,810
810,1535,10558.435,mousemove,0,810
810,1535,10571.435,mousemove,0,810
810,1535,10582.435,mousemove,0,810
810,1535,10595.435,mousemove,0,810
810,1535,10607.435,mouseout,0,810
810,1535,10607.435,mouseover,0,810
810,1535,10607.435,mousemove,0,810
810,1535,10620.435,mousemove,0,810
810,1535,10632.435,mousemove,0,810
810,1535,10644.435,mousemove,0,810
810,1535,10657.435,mousemove,0,810
810,1535,10669.435,mousemove,0,810
810,1535,10682.435,mousemove,0,810
810,1535,10694.435,mousemove,0,810
810,1535,10719.435,mousemove,0,810
810,1535,10893.435,mousemove,0,810
810,1535,10905.435,mousemove,0,810
810,1535,10918.435,mousemove,0,810
810,1535,11135.435,mousedown,0,810
810,1535,11143.88,focusout,0,810
810,1535,11144.695,focusin,0,810
810,1535,11235.435,mouseup,0,810
810,1535,11235.435,click,0,810
810,1535,11577.435,mouseout,0,810
810,1535,11577.435,mouseover,0,810
810,1535,11577.435,mousemove,0,810
810,1535,11589.435,mousemove,0,810
810,1535,11601.435,mousemove,0,810
810,1535,11614.435,mousemove,0,810
810,1535,11626.435,mousemove,0,810
810,1535,11639.435,mousemove,0,810
810,1535,11651.435,mousemove,0,810
810,1535,11664.435,mousemove,0,810
810,1535,11676.435,mousemove,0,810
810,1535,11689.435,mouseout,0,810
810,1535,11689.435,mouseover,0,810
810,1535,11689.435,mousemove,0,810
810,1535,11701.435,mousemove,0,810
810,1535,11713.435,mouseout,0,810
810,1535,11713.435,mouseover,0,810
810,1535,11713.435,mousemove,0,810
810,1535,11726.435,mousemove,0,810
810,1535,11738.435,mousemove,0,810
810,1535,11751.435,mousemove,0,810
810,1535,11763.435,mousemove,0,810
810,1535,11776.435,mouseout,0,810
810,1535,11776.435,mouseover,0,810
810,1535,11776.435,mousemove,0,810
810,1535,11788.435,mouseout,0,810
810,1535,11788.435,mouseover,0,810
810,1535,11788.435,mousemove,0,810
810,1535,11800.435,mouseout,0,810
810,1535,11800.435,mouseover,0,810
810,1535,11800.435,mousemove,0,810
810,1535,11813.435,mouseout,0,810
810,1535,11813.435,mouseover,0,810
810,1535,11813.435,mousemove,0,810
810,1535,11825.435,mousemove,0,810
810,1535,11838.435,mousemove,0,810
810,1535,11850.435,mousemove,0,810
